show_title,cumulative_weeks_in_top_10
No Limit,4
Furioza,4
Gabby's Dollhouse,4
Man on Fire,4
The Trip,4
American Murder: Gabby Petito,4
Pain Hustlers,4
Parasyte: The Grey,4
Suits,4
Criminal Code,4
Crooks,4
Cyberpunk: Edgerunners,4
Sweet Girl,4
Stay Close,4
Narcos: Mexico,4
Narvik,4
The Stronghold,4
Badland Hunters,4
Bandidos,4
The Tourist,4
The Seven Deadly Sins,4
Dangerous Liaisons,4
Darlings,4
Stuck Together,4
Pedro el escamoso,4
Fast & Furious Presents: Hobbs & Shaw,4
Lonely Planet,4
Lost Bullet 2,4
Turbo,4
Amaran,4
Twilight,4
Uglies,4
Hot Wheels Let's Race,4
Phir Aayi Hasseen Dillruba,4
Day Shift,4
Dead to Me,4
Deceitful Love,4
Squad 36,4
Plankton: The Movie,4
F*ck Love Too,4
All Hail,4
Unlocked,4
My Liberation Notes,4
The Shadow Strays,4
The Signal,4
Beauty and the Beast,4
Behind Your Touch,4
The Six Triple Eight,4
Mask Girl,4
Medusa,4
Harry & Meghan,4
Haseen Dillruba,4
Midnight Mass,4
Beverly Hills Cop: Axel F,4
Unlocked: A Jail Experiment,4
Life on Our Planet,4
Family Switch,4
Slumberland,4
Demon City,4
Someone Borrowed,4
Uprising,4
Valeria,4
Vanished into the Night,4
Venom,4
Venom: Let There Be Carnage,4
AMERICA'S SWEETHEARTS: Dallas Cowboys Cheerleaders,4
Viking Wolf,4
Sisters' Feud,4
Sixty Minutes,4
Envious,4
Eric,4
Queenmaker,4
Kingdom: Ashin of the North,4
Kraven the Hunter,4
A Time Called You,4
Mother's Day,4
Blame the Game,4
Blood & Gold,4
The Noel Diary,4
The Out-Laws,4
The Pale Blue Eye,4
Glass,4
Gold Brick,4
Murder Mystery,4
Bodies,4
Laal Singh Chaddha,4
Raising Dion,4
Ransom Canyon,4
Do Patti,4
Shahmaran,4
Shaitaan,4
Shehzada,4
Shiny_Flakes: The Teenage Drug Lord,4
Sikandar Ka Muqaddar,4
Don't Move,4
Bird Box Barcelona,4
The Potato Lab,4
Bhool Bhulaiyaa 2,4
The Residence,4
The School for Good and Evil,4
The Secret Diary of an Exchange Student,4
Minnal Murali,4
"Miraculous: Ladybug & Cat Noir, The Movie",4
Security,4
Selling Sunset,4
Record of Ragnarok,4
Enola Holmes 2,4
KENGAN ASHURA,4
Kaleidoscope,4
Kate,4
A Killer Paradox,4
A Man Called Otto,4
A Nearly Normal Family,4
Who Killed Sara?,4
Yaksha: Ruthless Operations,4
Yara,4
Woody Woodpecker,4
Is It Cake?,4
A Deadly Invitation,4
¡Que viva México!,4
Iron Reign,3
(Un)lucky Sisters,3
iNumber Number: Jozi Gold,3
Yellowstone,3
6 Underground,3
Women at War,3
Women on the Edge,3
Just One Look,3
Just Short of Perfect,3
Justice,3
In Time,3
Incoming,3
Infiesto,3
Karma,3
Keep Breathing,3
Where the Tracks End,3
A Good Girl's Guide to Murder,3
A Life Too Short: The Isabella Nardoni Case,3
A Man in Full,3
A Model Family,3
A Perfect Fit,3
Seasons,3
Sector 36,3
Seoul Vibe,3
Divorce Attorney Shin,3
End of the Road,3
Enola Holmes,3
Recurrence,3
Rescued by Ruby,3
Resident Evil,3
Royalteen,3
Dragged Across Concrete,3
Dragon,3
Dragon Ball DAIMA,3
Dream,3
Drifting Home,3
Dungeons & Dragons: Honor Among Thieves,3
Dhamaka,3
Dhoom Dhaam,3
Sister Death,3
Sky High: The Series,3
Sleeping Dog,3
Quarterback,3
Escaping Twin Flames,3
Extraction,3
Ranma1/2,3
Do Revenge,3
Dog Days Out,3
Shrek Forever After,3
Saving Bikini Bottom: The Sandy Cheeks Movie,3
Dog Gone,3
Doona!,3
Scrooge: A Christmas Carol,3
David and the Elves,3
Dead Boy Detectives,3
Spy Kids: Armageddon,3
Plan A Plan B,3
Fair Play,3
Prey,3
Prisoners,3
Puss in Boots: The Last Wish,3
Delicious,3
Sniper: Assassin's End,3
Song of the Bandits,3
Sonic Prime,3
Silver Skates,3
Detective Forst,3
Deva,3
Devil in Ohio,3
Daughter From Another Mother,3
Stolen,3
Stolen Vacation,3
Persuasion,3
Phenomena,3
Fatale,3
Father Stu,3
Fatherhood,3
Fenced In,3
Photocopier,3
Pinkfong & Baby Shark's Space Adventure,3
Soulcatcher,3
Spaceman,3
Spellbound,3
Spider-Man: Homecoming,3
Spiderhead,3
The 8th Night,3
First Kill,3
First Love,3
Outside,3
Overhaul,3
Partner Track,3
D.P.,3
DEPP V HEARD,3
Survival of the Thickest,3
Sweet Home,3
THE DAYS,3
Tall Girl 2,3
Still Time,3
Dabba Cartel,3
Dancing for the Devil: The 7M TikTok Cult,3
Dasvi,3
The Boss Baby: Back in the Crib,3
One of Us Is Lying,3
Our Father,3
Our Planet,3
For Life,3
Ferry 2,3
Fighter,3
Find Me Falling,3
Territory,3
Testament: The Story of Moses,3
"Thank You, I'm Sorry",3
Control Z,3
Conversations with a Killer: The John Wayne Gacy Tapes,3
Court: State vs A Nobody,3
Cowboy Bebop,3
That '90s Show,3
The Emoji Movie,3
OMG 2,3
Officer on Duty,3
Old Dads,3
From the Ashes,3
Old People,3
Once Upon a Crime,3
City Hunter,3
Class Act,3
The Buckingham Murders,3
The Circle,3
Code 8 Part II,3
Cold Case: Who Killed JonBenét Ramsey,3
The Bequeathed,3
The Big 4,3
The Black Book,3
CBI 5: The Brain,3
Camp Crasher,3
The Kissing Booth 3,3
GTMAX,3
Non Negotiable,3
The Great Wall,3
The Hand of God,3
The Harder They Fall,3
The Father Who Moves Mountains,3
The Frog,3
Caught,3
